y_idx,y,n_preimage_strict,n_preimage_eff,max_K,entropy,total_mass,entropy_over_log_npre
1008,1513,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
1009,1514,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
1010,1516,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
1011,1517,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
1012,1519,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
1013,1520,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1014,1522,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
1015,1523,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
1016,1525,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
1017,1526,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
1018,1528,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
1019,1529,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1020,1531,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
1021,1532,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
1022,1534,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
1023,1535,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
1024,1537,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
1025,1538,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1026,1540,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
1027,1541,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
1028,1543,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
1029,1544,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
1030,1546,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
1031,1547,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1032,1549,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
1033,1550,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
1034,1552,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
1035,1553,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
1036,1555,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
1037,1556,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1038,1558,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
1039,1559,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
1040,1561,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
1041,1562,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
1042,1564,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
1043,1565,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1044,1567,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
1045,1568,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
1046,1570,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
1047,1571,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
1048,1573,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
1049,1574,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1050,1576,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
1051,1577,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
1052,1579,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
1053,1580,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
1054,1582,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
1055,1583,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1056,1585,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
1057,1586,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
1058,1588,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
1059,1589,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
1060,1591,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
1061,1592,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1062,1594,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
1063,1595,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
1064,1597,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
1065,1598,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
1066,1600,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
1067,1601,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1068,1603,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
1069,1604,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
1070,1606,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
1071,1607,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
1072,1609,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
1073,1610,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1074,1612,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
1075,1613,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
1076,1615,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
1077,1616,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
1078,1618,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
1079,1619,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1080,1621,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
1081,1622,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
1082,1624,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
1083,1625,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
1084,1627,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
1085,1628,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1086,1630,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
1087,1631,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
1088,1633,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
