r,ell,eps,c,a,b,absF,theta,s,J,phi_3r,cong_residual_q
5,1,0,244,97,32,81.0000000000,2.103014012280,488,976,81.333333,
5,1,0,244,100,33,81.0000000000,0.241329476819,56,112,9.333333,
5,1,0,244,103,34,81.0000000000,-2.396056948417,173,1804,-92.666667,
5,1,0,244,106,35,81.0000000000,0.706750610684,164,328,27.333333,
5,1,0,244,109,36,81.0000000000,-2.085776192507,245,1948,-80.666667,
5,1,0,244,112,37,81.0000000000,-2.861478082282,65,1588,-110.666667,
5,1,0,244,115,38,81.0000000000,0.706750610684,164,328,27.333333,
5,1,0,244,118,39,81.0000000000,-0.922223357844,515,2488,-35.666667,
5,1,0,244,121,40,81.0000000000,2.258154390235,524,1048,87.333333,
5,1,0,244,124,41,81.0000000000,2.103014012280,488,976,81.333333,
5,1,0,244,127,42,81.0000000000,-2.551197326372,137,1732,-98.666667,
5,1,0,244,130,43,81.0000000000,0.396469854774,92,184,15.333333,
5,1,0,244,133,44,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,1,0,244,136,45,81.0000000000,-0.689512790911,569,2596,-26.666667,
5,1,0,244,139,46,81.0000000000,-2.163346381484,227,1912,-83.666667,
5,1,0,244,142,47,81.0000000000,2.801145713077,650,1300,108.333333,
5,1,0,244,145,48,81.0000000000,-1.620355058642,353,2164,-62.666667,
5,1,0,244,148,49,81.0000000000,0.861890988639,200,400,33.333333,
5,1,0,244,151,50,81.0000000000,2.103014012280,488,976,81.333333,
5,1,0,244,154,51,81.0000000000,0.939461177617,218,436,36.333333,
5,1,0,244,157,52,81.0000000000,-3.094188649215,11,1480,-119.666667,
5,1,0,244,160,53,81.0000000000,2.801145713077,650,1300,108.333333,
5,1,0,244,163,54,81.0000000000,0.706750610684,164,328,27.333333,
