n,len,mean_v,frac_ge_1,frac_ge_2,frac_ge_3,frac_ge_4,frac_ge_5,frac_ge_6,frac_ge_7,frac_ge_8,frac_ge_9,frac_ge_10
4113157,27,2.407407,1.000000,0.703704,0.518519,0.148148,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000
2819687,86,1.837209,1.000000,0.465116,0.267442,0.081395,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000
3351071,125,1.760000,1.000000,0.456000,0.192000,0.080000,0.024000,0.008000,0.000000,0.000000,0.000000,0.000000
120845,46,1.956522,1.000000,0.521739,0.239130,0.152174,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000
7837697,87,1.850575,1.000000,0.471264,0.206897,0.126437,0.045977,0.000000,0.000000,0.000000,0.000000,0.000000
7209191,82,1.865854,1.000000,0.439024,0.195122,0.109756,0.048780,0.036585,0.012195,0.012195,0.012195,0.000000
7791667,27,2.444444,1.000000,0.555556,0.407407,0.222222,0.148148,0.074074,0.037037,0.000000,0.000000,0.000000
1458895,57,1.947368,1.000000,0.473684,0.263158,0.140351,0.052632,0.017544,0.000000,0.000000,0.000000,0.000000
4819133,27,2.407407,1.000000,0.518519,0.333333,0.185185,0.111111,0.111111,0.037037,0.037037,0.037037,0.037037
1395815,45,2.044444,1.000000,0.488889,0.333333,0.133333,0.066667,0.022222,0.000000,0.000000,0.000000,0.000000
1071319,39,2.102564,1.000000,0.512821,0.282051,0.179487,0.076923,0.025641,0.025641,0.000000,0.000000,0.000000
