K,convention,r,D_K,D_avg,abs_diff,lambda_PF,n_absorbing
12,fine_cylinder,9,1.005011,0.695791,0.309220,0.999510,1
12,fine_cylinder,11,0.998959,0.657507,0.341452,0.999510,1
12,fine_cylinder,13,1.001260,0.557318,0.443942,0.999510,1
12,fine_cylinder,15,1.004778,1.057805,0.053027,0.999510,1
12,fine_cylinder,17,0.987194,1.131972,0.144778,0.999510,1
12,fine_cylinder,19,1.003030,0.627469,0.375561,0.999510,1
12,fine_cylinder,21,0.991984,0.930738,0.061246,0.999510,1
12,fine_cylinder,23,1.002835,1.398056,0.395221,0.999510,1
12,fine_cylinder,25,1.011436,0.543950,0.467486,0.999510,1
12,fine_cylinder,27,1.012256,0.801717,0.210539,0.999510,1
12,fine_cylinder,29,0.993528,1.353787,0.360259,0.999510,1
12,fine_cylinder,31,1.012061,0.766633,0.245428,0.999510,1
14,cylinder21,1,1.050193,1.609081,0.558888,0.937500,512
14,cylinder21,3,1.068238,1.236401,0.168163,0.937500,512
14,cylinder21,5,1.058366,1.863896,0.805530,0.937500,512
14,cylinder21,7,1.068238,0.737504,0.330734,0.937500,512
14,cylinder21,9,1.070866,0.695791,0.375075,0.937500,512
14,cylinder21,11,1.061981,0.657507,0.404474,0.937500,512
14,cylinder21,13,1.066667,0.557318,0.509349,0.937500,512
14,cylinder21,15,1.070339,1.057805,0.012534,0.937500,512
14,cylinder21,17,1.054264,1.131972,0.077708,0.937500,512
14,cylinder21,19,1.068238,0.627469,0.440769,0.937500,512
14,cylinder21,21,0.000000,0.930738,,0.937500,512
14,cylinder21,23,1.068238,1.398056,0.329818,0.937500,512
14,cylinder21,25,1.079365,0.543950,0.535415,0.937500,512
14,cylinder21,27,1.078830,0.801717,0.277113,0.937500,512
14,cylinder21,29,1.058366,1.353787,0.295421,0.937500,512
14,cylinder21,31,1.078830,0.766633,0.312197,0.937500,512
14,values,1,0.963612,1.609081,0.645469,0.999177,7
14,values,3,1.004353,1.236401,0.232048,0.999177,7
14,values,5,0.992252,1.863896,0.871644,0.999177,7
14,values,7,1.004665,0.737504,0.267161,0.999177,7
14,values,9,1.005595,0.695791,0.309804,0.999177,7
14,values,11,0.999086,0.657507,0.341579,0.999177,7
14,values,13,1.001845,0.557318,0.444527,0.999177,7
14,values,15,1.006406,1.057805,0.051399,0.999177,7
14,values,17,0.986139,1.131972,0.145833,0.999177,7
14,values,19,1.004755,0.627469,0.377286,0.999177,7
14,values,21,0.991770,0.930738,0.061032,0.999177,7
14,values,23,1.004375,1.398056,0.393681,0.999177,7
14,values,25,1.013547,0.543950,0.469597,0.999177,7
14,values,27,1.014392,0.801717,0.212675,0.999177,7
14,values,29,0.994268,1.353787,0.359519,0.999177,7
14,values,31,1.014338,0.766633,0.247705,0.999177,7
14,value21,1,0.980982,1.609081,0.628099,0.999878,1
14,value21,3,1.001507,1.236401,0.234894,0.999878,1
14,value21,5,0.992994,1.863896,0.870902,0.999878,1
14,value21,7,1.002294,0.737504,0.264790,0.999878,1
14,value21,9,1.004088,0.695791,0.308297,0.999878,1
14,value21,11,0.996906,0.657507,0.339399,0.999878,1
14,value21,13,1.000540,0.557318,0.443222,0.999878,1
14,value21,15,1.003712,1.057805,0.054093,0.999878,1
14,value21,17,0.988879,1.131972,0.143093,0.999878,1
14,value21,19,1.001921,0.627469,0.374452,0.999878,1
14,value21,21,0.998165,0.930738,0.067427,0.999878,1
14,value21,23,1.001556,1.398056,0.396500,0.999878,1
14,value21,25,1.011826,0.543950,0.467876,0.999878,1
14,value21,27,1.011478,0.801717,0.209761,0.999878,1
14,value21,29,0.992817,1.353787,0.360970,0.999878,1
14,value21,31,1.011325,0.766633,0.244692,0.999878,1
14,value1,1,0.977411,1.609081,0.631670,0.999902,1
14,value1,3,1.001584,1.236401,0.234817,0.999902,1
14,value1,5,0.993118,1.863896,0.870778,0.999902,1
14,value1,7,1.002371,0.737504,0.264867,0.999902,1
14,value1,9,1.004213,0.695791,0.308422,0.999902,1
14,value1,11,0.996983,0.657507,0.339476,0.999902,1
14,value1,13,1.000665,0.557318,0.443347,0.999902,1
14,value1,15,1.003789,1.057805,0.054016,0.999902,1
14,value1,17,0.989189,1.131972,0.142783,0.999902,1
14,value1,19,1.001999,0.627469,0.374530,0.999902,1
14,value1,21,1.000235,0.930738,0.069497,0.999902,1
14,value1,23,1.001633,1.398056,0.396423,0.999902,1
14,value1,25,1.011953,0.543950,0.468003,0.999902,1
14,value1,27,1.011556,0.801717,0.209839,0.999902,1
14,value1,29,0.992941,1.353787,0.360846,0.999902,1
14,value1,31,1.011404,0.766633,0.244771,0.999902,1
14,fine_cylinder,1,0.980982,1.609081,0.628099,0.999878,1
14,fine_cylinder,3,1.001507,1.236401,0.234894,0.999878,1
14,fine_cylinder,5,0.992994,1.863896,0.870902,0.999878,1
14,fine_cylinder,7,1.002294,0.737504,0.264790,0.999878,1
14,fine_cylinder,9,1.004088,0.695791,0.308297,0.999878,1
14,fine_cylinder,11,0.996906,0.657507,0.339399,0.999878,1
14,fine_cylinder,13,1.000540,0.557318,0.443222,0.999878,1
14,fine_cylinder,15,1.003712,1.057805,0.054093,0.999878,1
14,fine_cylinder,17,0.988879,1.131972,0.143093,0.999878,1
14,fine_cylinder,19,1.001921,0.627469,0.374452,0.999878,1
14,fine_cylinder,21,0.998165,0.930738,0.067427,0.999878,1
14,fine_cylinder,23,1.001556,1.398056,0.396500,0.999878,1
14,fine_cylinder,25,1.011826,0.543950,0.467876,0.999878,1
14,fine_cylinder,27,1.011478,0.801717,0.209761,0.999878,1
14,fine_cylinder,29,0.992817,1.353787,0.360970,0.999878,1
14,fine_cylinder,31,1.011325,0.766633,0.244692,0.999878,1
